url	filename	size	sha256
http://deb.debian.org/debian/pool/main/c/coreutils/coreutils_9.7.orig.tar.xz	coreutils_9.7.orig.tar.xz	6158960	e8bb26ad0293f9b5a1fc43fb42ba970e312c66ce92c1b0b16713d7500db251bf
http://deb.debian.org/debian/pool/main/c/coreutils/coreutils_9.7.orig.tar.xz.asc	coreutils_9.7.orig.tar.xz.asc	833	5070e9428bd372a7fa1f66b395b81092bb40c98f9f56a2e2bc55c47fd387e901
http://deb.debian.org/debian/pool/main/c/coreutils/coreutils_9.7-3.debian.tar.xz	coreutils_9.7-3.debian.tar.xz	26820	483f77876a080577f63da1d004cc1cf17d16df65d6925aefdd3294c6101eccfb
http://deb.debian.org/debian/pool/main/d/dash/dash_0.5.12-12.dsc	dash_0.5.12-12.dsc	1460	589efc4d87a4ae4745c273bdb33198d7c4f28a71736a8ece81d3677cf9c6e5ce
http://deb.debian.org/debian/pool/main/d/dash/dash_0.5.12.orig.tar.gz	dash_0.5.12.orig.tar.gz	246054	6a474ac46e8b0b32916c4c60df694c82058d3297d8b385b74508030ca4a8f28a
http://deb.debian.org/debian/pool/main/d/dash/dash_0.5.12-12.debian.tar.xz	dash_0.5.12-12.debian.tar.xz	47300	a278acb5d9a1f5d9a086d36a547287cbf3105b8f33c0e62d86d264decf5ba1ad
http://deb.debian.org/debian/pool/main/d/db5.3/db5.3_5.3.28%2bdfsg2-9.dsc	db5.3_5.3.28+dfsg2-9.dsc	2373	045f392c75dffc9d4f3bd44978b90ca8d45b935cf0ae4202bf79a760f2ce07b1
http://deb.debian.org/debian/pool/main/d/db5.3/db5.3_5.3.28%2bdfsg2.orig.tar.xz	db5.3_5.3.28+dfsg2.orig.tar.xz	21287688	ad41b507415dec8316e828b2230242af2251d2c86eefa3c7aa9ef47c5239ef33
http://deb.debian.org/debian/pool/main/d/db5.3/db5.3_5.3.28%2bdfsg2-9.debian.tar.xz	db5.3_5.3.28+dfsg2-9.debian.tar.xz	36412	21fe6ee0491c83d0c34fe52e0e0e423946172eff68262584a0cc8ef880c36b74
http://deb.debian.org/debian/pool/main/d/debconf/debconf_1.5.91.dsc	debconf_1.5.91.dsc	2035	1aa3ceaef24ef533cfffe7f9ca750c6325dbaea86a7abca77cb4439ceae930d8
http://deb.debian.org/debian/pool/main/d/debconf/debconf_1.5.91.tar.xz	debconf_1.5.91.tar.xz	609964	18f3f43924ccc870be483d7c5f1a9be59e51ae1da403059d654666b5a175bf15
